id,observed_on,user_id,latitude,longitude,field:colour,field:head capsule visible?
9965676,2018-02-22,584563,26.38364959,-81.61259193,Black,Yes
10594554,2018-04-02,49118,31.38015833,-94.35125,Black,Yes
10655954,2018-04-05,770715,29.8230371,-94.66636509,Black,Yes
10703268,2018-04-07,793642,29.85530833,-89.897445,Black,Yes
10704057,2018-04-07,793642,29.85530833,-89.897445,Black,Yes
10811527,2018-04-09,655334,29.88522635,-96.8543607,Black,Yes
10827324,2018-04-12,838679,30.40626927,-97.70629655,Black,Yes
10904883,2018-04-13,751145,30.27097661,-97.72531268,Black,Yes
10984120,2018-04-11,210095,30.81347833,-94.0241,Black,Yes
10996097,2018-04-13,111241,29.57188833,-94.393225,Black,Yes
11119851,2018-04-18,834183,30.54666057,-94.41521712,Black,Yes
11164496,2018-04-15,825396,29.757558,-93.60299,Black,Yes
11180468,2018-04-07,703773,29.79408193,-90.1331405,Black,Yes
11182991,2018-03-25,861008,28.43407822,-81.73825836,Black,Yes
11238200,2018-04-20,442247,30.5562913,-91.1729491,Black,Yes
11240187,2018-04-20,863895,30.57071873,-91.16499033,Black,Yes
11269262,2018-04-21,865253,30.57101733,-91.16774083,Black,Yes
11270008,2018-04-21,750323,30.7646117,-95.47862866,Black,Yes
11274501,2018-04-21,865019,30.56948137,-91.1651906,Black,Yes
11422193,2018-04-25,880755,30.37247833,-97.69674667,Black,Yes
11455298,2018-04-26,417445,32.97084468,-96.67387883,Black,Yes
11500508,2018-04-27,725210,30.40462901,-97.79118435,Black,Yes
11503015,2018-04-27,856348,30.40472159,-97.78948618,Black,Yes
11519212,2018-04-27,589844,31.33249667,-89.33583333,Black,Yes
11526797,2018-04-27,856338,30.41795833,-97.784455,Black,Yes
11531150,2018-04-27,225587,32.86899126,-96.68290966,Black,Yes
11631668,2018-04-26,796058,30.03270833,-95.50138833,Black,Yes
11660445,2018-04-27,111285,29.34836547,-98.46470956,Black,Yes
11703419,2018-04-28,80181,32.72835597,-96.75222717,Black,Yes
11784769,2018-04-29,899286,30.35104007,-93.2953563,Black,Yes
11933544,2018-04-30,775329,32.70098495,-97.0874939,Black,Yes
11947796,2018-04-29,131068,30.687246,-97.649263,Black,Yes
12002177,2018-05-01,775329,32.69299189,-97.08493341,Black,Yes
12003997,2018-04-28,90526,30.07861944,-97.31500278,Black,Yes
12015155,2018-04-29,380122,30.51006176,-95.66067874,Black,Yes
12058065,2018-05-02,49118,30.81386167,-94.01709717,Black,Yes
12080178,2018-04-30,269263,32.90750152,-96.75362838,Black,Yes
12102260,2018-04-30,912851,32.860625,-96.62055833,Black,Yes
12109785,2018-04-30,350225,32.828066,-96.7253164,Black,Yes
12142571,2018-05-04,838679,30.40519726,-97.69639433,Black,Yes
12187696,2018-04-07,939299,30.03186383,-89.96302,Black,Yes
12194672,2018-05-06,430818,30.63037374,-95.53658336,Black,Yes
12244540,2018-05-02,755943,30.18621667,-97.72242,Black,Yes
12266328,2018-05-05,470974,30.64516167,-95.52285,Black,Yes
12342704,2018-05-10,751105,30.0003861,-97.8790152,Black,Yes
